,COMMA,COLON,SEMICOLON,LPAREN,RPAREN,LBRACK,RBRACK,LBRACE,RBRACE,PERIOD,PLUS,MINUS,MULT,DIV,EQ,EXCL,LESSER,GREATER,AND,OR,LETTER,UNDERSCORE,ZERO,NUMNOTZERO,WHITESPACE,EOF,OTHER
0,2,3,4,5,6,7,8,9,10,1,11,12,13,14,15,21,16,19,23,22,27,E,28,29,31,E,E
1,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E 
2,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E 
3,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,20,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E 
4,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E 
5,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E 
6,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E
7,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E 
8,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
9,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
12,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
13,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
14,E,E,E,E,E,E,E,E,E,E,E,E,24,E,E,E,E,E,E,E,E,E,E,E,E,E,E
15,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
16,E,E,E,E,E,E,E,E,E,E,E,E,E,E,18,E,E,17,E,E,E,E,E,E,E,E,E
17,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
18,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
19,E,E,E,E,E,E,E,E,E,E,E,E,E,E,33,E,E,E,E,E,E,E,E,E,E,E,E
20,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
21,E,E,E,E,E,E,E,E,E,E,E,E,E,E,32,E,E,E,E,E,E,E,E,E,E,E,E
22,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
23,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,E,24
25,24,24,24,24,24,24,24,24,24,24,24,24,25,26,24,24,24,24,24,24,24,24,24,24,24,E,24
26,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
27,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,27,27,27,27,E,E,E
28,E,E,E,E,E,E,E,E,E,30,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
29,E,E,E,E,E,E,E,E,E,30,E,E,E,E,E,E,E,E,E,E,E,E,29,29,E,E,E
30,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,30,30,E,E,E
31,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,31,E,E
32,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
33,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
